id,age,genre,taille,regular_eating,sorbet_fraise,sorbet_framboise,sorbet_passion,sorbet_citron,creme_glacee_vanille,creme_glacee_chocolat,creme_glacee_rhumraisins,creme_glacee_caramel,comment
309,NA,homme,128.530815059563,Oui,1_un peu,2_moyennement,0_pas_du_tout,0_pas_du_tout,2_moyennement,Non renseigné,1_un peu,Non renseigné,NA
310,50,femme,155.6298677842524,Non renseigné,3_beaucoup,4_énormément,1_un peu,Non renseigné,Non renseigné,4_énormément,0_pas_du_tout,4_énormément,NA
311,73,homme,172.65868039483598,Non,3_beaucoup,2_moyennement,4_énormément,3_beaucoup,3_beaucoup,Non renseigné,Non renseigné,2_moyennement,NA
312,73,homme,179.05418411404423,Non,3_beaucoup,1_un peu,4_énormément,0_pas_du_tout,4_énormément,2_moyennement,3_beaucoup,Non renseigné,NA
313,31,non binaire,NA,Non renseigné,Non renseigné,2_moyennement,2_moyennement,0_pas_du_tout,2_moyennement,4_énormément,4_énormément,Non renseigné,NA
314,14,homme,149.25457789412246,Non renseigné,2_moyennement,2_moyennement,0_pas_du_tout,3_beaucoup,Non renseigné,3_beaucoup,1_un peu,4_énormément,NA
315,25,NA,172.3247810571588,Non,0_pas_du_tout,1_un peu,4_énormément,4_énormément,3_beaucoup,4_énormément,2_moyennement,Non renseigné,NA
316,64,homme,172.56894684107536,Non renseigné,1_un peu,1_un peu,2_moyennement,4_énormément,1_un peu,Non renseigné,1_un peu,Non renseigné,NA
317,26,homme,171.52291353365413,Oui,4_énormément,Non renseigné,4_énormément,2_moyennement,4_énormément,4_énormément,3_beaucoup,Non renseigné,NA
318,18,homme,169.32500426055466,Oui,0_pas_du_tout,0_pas_du_tout,0_pas_du_tout,3_beaucoup,2_moyennement,4_énormément,0_pas_du_tout,0_pas_du_tout,NA
319,56,NA,NA,Non,2_moyennement,0_pas_du_tout,3_beaucoup,0_pas_du_tout,1_un peu,Non renseigné,3_beaucoup,4_énormément,NA
320,68,femme,173.80453866487883,Non,1_un peu,4_énormément,1_un peu,3_beaucoup,4_énormément,4_énormément,Non renseigné,Non renseigné,NA
321,7,femme,113.576677293081,Oui,4_énormément,4_énormément,1_un peu,3_beaucoup,Non renseigné,1_un peu,0_pas_du_tout,Non renseigné,NA
322,34,homme,164.23674471282845,Non renseigné,2_moyennement,3_beaucoup,2_moyennement,2_moyennement,4_énormément,1_un peu,0_pas_du_tout,4_énormément,NA
323,NA,femme,161.6547829343261,Non renseigné,1_un peu,3_beaucoup,3_beaucoup,3_beaucoup,1_un peu,2_moyennement,1_un peu,Non renseigné,NA
324,6,non binaire,111.32879821124881,Non renseigné,0_pas_du_tout,3_beaucoup,1_un peu,2_moyennement,2_moyennement,1_un peu,4_énormément,Non renseigné,NA
325,40,NA,183.3546794779936,Non renseigné,3_beaucoup,0_pas_du_tout,0_pas_du_tout,1_un peu,0_pas_du_tout,Non renseigné,3_beaucoup,0_pas_du_tout,NA
326,54,non binaire,NA,Oui,1_un peu,0_pas_du_tout,3_beaucoup,0_pas_du_tout,1_un peu,1_un peu,2_moyennement,Non renseigné,NA
327,19,NA,171.23094994794505,Oui,Non renseigné,Non renseigné,0_pas_du_tout,4_énormément,4_énormément,1_un peu,1_un peu,4_énormément,NA
328,78,homme,175.48538047094422,Non,1_un peu,3_beaucoup,2_moyennement,4_énormément,0_pas_du_tout,Non renseigné,Non renseigné,Non renseigné,NA
329,65,homme,171.55131700587455,Oui,1_un peu,4_énormément,4_énormément,0_pas_du_tout,Non renseigné,0_pas_du_tout,3_beaucoup,Non renseigné,NA
330,6,non binaire,110.71236628765084,Oui,0_pas_du_tout,0_pas_du_tout,0_pas_du_tout,3_beaucoup,4_énormément,3_beaucoup,0_pas_du_tout,1_un peu,NA
331,43,femme,162.37422985336735,Non renseigné,1_un peu,Non renseigné,2_moyennement,0_pas_du_tout,Non renseigné,0_pas_du_tout,1_un peu,1_un peu,NA
332,35,homme,170.1929538881288,Non renseigné,3_beaucoup,4_énormément,2_moyennement,1_un peu,Non renseigné,3_beaucoup,Non renseigné,4_énormément,NA
333,65,femme,165.2177887185007,Non,Non renseigné,Non renseigné,0_pas_du_tout,Non renseigné,3_beaucoup,Non renseigné,1_un peu,3_beaucoup,NA
334,50,non binaire,NA,Oui,Non renseigné,3_beaucoup,3_beaucoup,0_pas_du_tout,Non renseigné,Non renseigné,Non renseigné,Non renseigné,NA
335,23,femme,175.304489324948,Non,4_énormément,0_pas_du_tout,1_un peu,2_moyennement,1_un peu,4_énormément,1_un peu,1_un peu,NA
336,57,femme,172.6468262529977,Non,4_énormément,3_beaucoup,Non renseigné,Non renseigné,2_moyennement,4_énormément,1_un peu,Non renseigné,NA
337,26,femme,NA,Non,1_un peu,Non renseigné,3_beaucoup,3_beaucoup,2_moyennement,1_un peu,1_un peu,Non renseigné,NA
338,66,homme,173.5098950869404,Non,Non renseigné,2_moyennement,Non renseigné,Non renseigné,4_énormément,1_un peu,3_beaucoup,1_un peu,NA
339,54,femme,164.523568240167,Non renseigné,4_énormément,2_moyennement,Non renseigné,Non renseigné,4_énormément,3_beaucoup,3_beaucoup,Non renseigné,NA
340,47,homme,168.82571849166206,Oui,4_énormément,4_énormément,Non renseigné,3_beaucoup,0_pas_du_tout,3_beaucoup,4_énormément,Non renseigné,NA
341,73,NA,169.9403657975021,Non renseigné,0_pas_du_tout,2_moyennement,0_pas_du_tout,2_moyennement,4_énormément,3_beaucoup,2_moyennement,0_pas_du_tout,NA
342,24,femme,160.82667941918154,Non,3_beaucoup,0_pas_du_tout,2_moyennement,0_pas_du_tout,4_énormément,1_un peu,4_énormément,Non renseigné,NA
343,22,homme,170.98524930038093,Non,1_un peu,Non renseigné,4_énormément,3_beaucoup,3_beaucoup,Non renseigné,Non renseigné,Non renseigné,NA
344,77,homme,NA,Non renseigné,0_pas_du_tout,0_pas_du_tout,3_beaucoup,3_beaucoup,1_un peu,Non renseigné,1_un peu,Non renseigné,NA
345,71,homme,NA,Non,3_beaucoup,1_un peu,2_moyennement,1_un peu,3_beaucoup,Non renseigné,Non renseigné,Non renseigné,NA
346,43,homme,NA,Oui,1_un peu,2_moyennement,4_énormément,2_moyennement,Non renseigné,4_énormément,0_pas_du_tout,3_beaucoup,NA
347,34,homme,167.27916116795126,Non renseigné,2_moyennement,1_un peu,3_beaucoup,3_beaucoup,Non renseigné,4_énormément,Non renseigné,1_un peu,NA
348,45,femme,NA,Oui,4_énormément,3_beaucoup,2_moyennement,4_énormément,Non renseigné,3_beaucoup,Non renseigné,4_énormément,NA
349,39,femme,175.26588452686414,Non renseigné,3_beaucoup,3_beaucoup,1_un peu,3_beaucoup,0_pas_du_tout,Non renseigné,1_un peu,4_énormément,NA
350,11,femme,134.48611407941775,Oui,2_moyennement,Non renseigné,0_pas_du_tout,0_pas_du_tout,1_un peu,Non renseigné,1_un peu,Non renseigné,NA
351,NA,homme,168.80537686150086,Oui,3_beaucoup,Non renseigné,1_un peu,Non renseigné,3_beaucoup,4_énormément,4_énormément,4_énormément,NA
352,NA,femme,160.48611316865663,Non renseigné,0_pas_du_tout,2_moyennement,0_pas_du_tout,0_pas_du_tout,2_moyennement,Non renseigné,3_beaucoup,Non renseigné,NA
353,56,homme,177.2726399612074,Non renseigné,3_beaucoup,4_énormément,2_moyennement,0_pas_du_tout,3_beaucoup,Non renseigné,3_beaucoup,Non renseigné,NA
354,70,homme,168.69071577906098,Oui,1_un peu,2_moyennement,1_un peu,3_beaucoup,Non renseigné,1_un peu,4_énormément,4_énormément,NA
355,54,femme,169.68579816748147,Non,3_beaucoup,4_énormément,2_moyennement,3_beaucoup,4_énormément,2_moyennement,1_un peu,Non renseigné,NA
356,NA,non binaire,NA,Oui,2_moyennement,3_beaucoup,3_beaucoup,4_énormément,0_pas_du_tout,0_pas_du_tout,Non renseigné,0_pas_du_tout,NA
357,32,homme,167.3973777157027,Oui,2_moyennement,Non renseigné,3_beaucoup,Non renseigné,1_un peu,0_pas_du_tout,Non renseigné,4_énormément,NA
358,77,homme,171.16741927600717,Oui,0_pas_du_tout,2_moyennement,1_un peu,3_beaucoup,0_pas_du_tout,1_un peu,2_moyennement,Non renseigné,NA
359,51,femme,164.38701655611234,Oui,0_pas_du_tout,4_énormément,4_énormément,Non renseigné,4_énormément,Non renseigné,3_beaucoup,4_énormément,NA
360,26,femme,168.05131613307432,Non renseigné,1_un peu,1_un peu,3_beaucoup,1_un peu,3_beaucoup,1_un peu,Non renseigné,4_énormément,NA
361,39,homme,168.2969672549192,Non,2_moyennement,1_un peu,2_moyennement,0_pas_du_tout,0_pas_du_tout,3_beaucoup,0_pas_du_tout,Non renseigné,NA
362,77,homme,169.42528182332725,Oui,Non renseigné,3_beaucoup,4_énormément,3_beaucoup,Non renseigné,Non renseigné,4_énormément,Non renseigné,NA
363,11,NA,135.90300047823575,Non renseigné,Non renseigné,3_beaucoup,1_un peu,0_pas_du_tout,Non renseigné,3_beaucoup,Non renseigné,0_pas_du_tout,NA
364,75,femme,161.58525903224646,Non renseigné,0_pas_du_tout,0_pas_du_tout,Non renseigné,3_beaucoup,2_moyennement,1_un peu,Non renseigné,4_énormément,NA
365,NA,femme,161.66077952583973,Non renseigné,1_un peu,1_un peu,0_pas_du_tout,Non renseigné,3_beaucoup,4_énormément,1_un peu,2_moyennement,NA
366,46,femme,150.12404472065276,Non,2_moyennement,Non renseigné,3_beaucoup,2_moyennement,Non renseigné,3_beaucoup,2_moyennement,4_énormément,NA
367,NA,femme,166.6104454943628,Non renseigné,2_moyennement,0_pas_du_tout,2_moyennement,0_pas_du_tout,0_pas_du_tout,Non renseigné,2_moyennement,Non renseigné,NA
368,45,femme,NA,Non,2_moyennement,Non renseigné,4_énormément,0_pas_du_tout,Non renseigné,1_un peu,1_un peu,3_beaucoup,NA
369,NA,femme,NA,Non renseigné,0_pas_du_tout,4_énormément,1_un peu,3_beaucoup,2_moyennement,4_énormément,4_énormément,3_beaucoup,NA
370,17,homme,163.9509609363872,Non,1_un peu,3_beaucoup,1_un peu,Non renseigné,2_moyennement,4_énormément,4_énormément,Non renseigné,NA
371,17,homme,164.53149407522903,Non renseigné,Non renseigné,1_un peu,Non renseigné,2_moyennement,3_beaucoup,3_beaucoup,Non renseigné,Non renseigné,NA
372,68,homme,174.52278884144445,Non,0_pas_du_tout,Non renseigné,1_un peu,2_moyennement,2_moyennement,3_beaucoup,0_pas_du_tout,Non renseigné,NA
373,20,femme,NA,Non,4_énormément,Non renseigné,NA,2_moyennement,2_moyennement,Non renseigné,4_énormément,Non renseigné,NA
374,38,femme,162.28690891993793,Non,2_moyennement,2_moyennement,1_un peu,1_un peu,3_beaucoup,1_un peu,Non renseigné,2_moyennement,NA
375,40,femme,165.78251398537577,Non,1_un peu,2_moyennement,1_un peu,Non renseigné,1_un peu,4_énormément,0_pas_du_tout,Non renseigné,NA
376,56,non binaire,NA,Oui,1_un peu,0_pas_du_tout,1_un peu,Non renseigné,3_beaucoup,2_moyennement,3_beaucoup,Non renseigné,NA
377,56,NA,160.6882982817393,Non,2_moyennement,4_énormément,4_énormément,3_beaucoup,3_beaucoup,1_un peu,4_énormément,Non renseigné,NA
378,22,homme,NA,Non,2_moyennement,3_beaucoup,1_un peu,4_énormément,Non renseigné,2_moyennement,Non renseigné,2_moyennement,NA
379,3,non binaire,94.93006252473529,Oui,4_énormément,0_pas_du_tout,2_moyennement,3_beaucoup,Non renseigné,Non renseigné,2_moyennement,Non renseigné,NA
380,6,femme,109.16535981458028,Non,4_énormément,4_énormément,Non renseigné,1_un peu,4_énormément,4_énormément,4_énormément,2_moyennement,NA
381,NA,femme,164.24261870674843,Non,1_un peu,3_beaucoup,1_un peu,1_un peu,3_beaucoup,Non renseigné,0_pas_du_tout,Non renseigné,NA
382,58,femme,173.6117934295773,Non renseigné,0_pas_du_tout,4_énormément,3_beaucoup,1_un peu,1_un peu,4_énormément,4_énormément,1_un peu,NA
383,19,homme,166.11424210495665,Non renseigné,3_beaucoup,Non renseigné,Non renseigné,0_pas_du_tout,4_énormément,0_pas_du_tout,3_beaucoup,Non renseigné,NA
384,15,homme,NA,Oui,2_moyennement,4_énormément,0_pas_du_tout,4_énormément,2_moyennement,4_énormément,2_moyennement,Non renseigné,NA
385,40,femme,167.0684690123083,Non renseigné,0_pas_du_tout,4_énormément,2_moyennement,0_pas_du_tout,3_beaucoup,3_beaucoup,Non renseigné,Non renseigné,NA
386,NA,non binaire,NA,Non renseigné,4_énormément,3_beaucoup,1_un peu,2_moyennement,Non renseigné,1_un peu,3_beaucoup,4_énormément,NA
387,17,homme,NA,Non renseigné,1_un peu,2_moyennement,1_un peu,0_pas_du_tout,Non renseigné,3_beaucoup,4_énormément,Non renseigné,NA
388,63,non binaire,NA,Oui,4_énormément,3_beaucoup,0_pas_du_tout,Non renseigné,1_un peu,4_énormément,1_un peu,Non renseigné,NA
389,54,femme,161.4233535566709,Non renseigné,0_pas_du_tout,2_moyennement,3_beaucoup,3_beaucoup,4_énormément,2_moyennement,4_énormément,Non renseigné,NA
390,40,femme,162.1618702215964,Non,4_énormément,3_beaucoup,0_pas_du_tout,3_beaucoup,Non renseigné,1_un peu,0_pas_du_tout,Non renseigné,NA
391,21,homme,161.00405161881105,Non,1_un peu,3_beaucoup,4_énormément,4_énormément,Non renseigné,4_énormément,4_énormément,Non renseigné,NA
392,42,femme,NA,Non renseigné,4_énormément,2_moyennement,2_moyennement,1_un peu,4_énormément,2_moyennement,0_pas_du_tout,Non renseigné,NA
393,52,homme,168.17081501931023,Oui,3_beaucoup,2_moyennement,4_énormément,4_énormément,2_moyennement,Non renseigné,Non renseigné,Non renseigné,NA
394,66,homme,166.52972002646538,Non,1_un peu,2_moyennement,Non renseigné,1_un peu,2_moyennement,2_moyennement,2_moyennement,0_pas_du_tout,NA
395,26,homme,167.09173556768047,Non renseigné,2_moyennement,2_moyennement,1_un peu,3_beaucoup,4_énormément,3_beaucoup,0_pas_du_tout,1_un peu,NA
396,41,homme,NA,Non renseigné,3_beaucoup,2_moyennement,1_un peu,1_un peu,3_beaucoup,1_un peu,0_pas_du_tout,1_un peu,NA
397,69,homme,174.28383428352353,Oui,0_pas_du_tout,0_pas_du_tout,4_énormément,2_moyennement,1_un peu,1_un peu,3_beaucoup,4_énormément,NA
398,12,femme,139.9267933859121,Non,2_moyennement,0_pas_du_tout,3_beaucoup,2_moyennement,3_beaucoup,0_pas_du_tout,4_énormément,Non renseigné,NA
399,16,homme,158.93713323956368,Oui,0_pas_du_tout,2_moyennement,1_un peu,2_moyennement,Non renseigné,1_un peu,0_pas_du_tout,Non renseigné,NA
400,79,homme,167.13233971623035,Non,Non renseigné,2_moyennement,4_énormément,2_moyennement,Non renseigné,4_énormément,2_moyennement,Non renseigné,NA
401,66,femme,159.01487688920312,Oui,0_pas_du_tout,Non renseigné,0_pas_du_tout,2_moyennement,3_beaucoup,Non renseigné,3_beaucoup,Non renseigné,NA
402,39,homme,168.9260145226836,Non renseigné,1_un peu,Non renseigné,1_un peu,0_pas_du_tout,3_beaucoup,Non renseigné,0_pas_du_tout,3_beaucoup,NA
403,36,non binaire,NA,Oui,Non renseigné,Non renseigné,4_énormément,4_énormément,0_pas_du_tout,3_beaucoup,0_pas_du_tout,Non renseigné,NA
404,43,homme,176.77278596846295,Non,2_moyennement,Non renseigné,1_un peu,4_énormément,2_moyennement,0_pas_du_tout,Non renseigné,Non renseigné,NA
405,27,NA,160.7629731253064,Non,1_un peu,3_beaucoup,3_beaucoup,0_pas_du_tout,Non renseigné,3_beaucoup,4_énormément,4_énormément,NA
406,16,femme,161.50182455598812,Non,0_pas_du_tout,2_moyennement,0_pas_du_tout,2_moyennement,0_pas_du_tout,3_beaucoup,3_beaucoup,Non renseigné,NA
407,62,homme,NA,Oui,2_moyennement,0_pas_du_tout,1_un peu,3_beaucoup,2_moyennement,4_énormément,0_pas_du_tout,1_un peu,NA
408,18,homme,170.25293973047874,Oui,3_beaucoup,0_pas_du_tout,0_pas_du_tout,4_énormément,0_pas_du_tout,Non renseigné,0_pas_du_tout,4_énormément,NA
409,44,femme,161.58149786939336,Non renseigné,0_pas_du_tout,1_un peu,4_énormément,4_énormément,3_beaucoup,2_moyennement,2_moyennement,4_énormément,NA
410,63,homme,172.84024585986552,Non,3_beaucoup,Non renseigné,3_beaucoup,0_pas_du_tout,4_énormément,0_pas_du_tout,4_énormément,0_pas_du_tout,NA
411,74,femme,167.89407134570914,Non,4_énormément,0_pas_du_tout,Non renseigné,2_moyennement,2_moyennement,3_beaucoup,4_énormément,2_moyennement,NA
412,20,homme,164.9370547017349,Oui,2_moyennement,1_un peu,NA,3_beaucoup,3_beaucoup,3_beaucoup,2_moyennement,Non renseigné,NA
413,72,homme,NA,Oui,0_pas_du_tout,1_un peu,4_énormément,1_un peu,3_beaucoup,1_un peu,4_énormément,Non renseigné,NA
414,26,femme,162.5815483633732,Non,0_pas_du_tout,1_un peu,Non renseigné,Non renseigné,3_beaucoup,3_beaucoup,1_un peu,4_énormément,NA
415,63,femme,NA,Non renseigné,1_un peu,3_beaucoup,1_un peu,1_un peu,2_moyennement,4_énormément,1_un peu,Non renseigné,NA
416,61,homme,173.59810582191756,Oui,0_pas_du_tout,0_pas_du_tout,4_énormément,Non renseigné,4_énormément,1_un peu,2_moyennement,Non renseigné,NA
417,NA,femme,158.888268339952,Non,1_un peu,Non renseigné,2_moyennement,Non renseigné,3_beaucoup,3_beaucoup,2_moyennement,Non renseigné,NA
418,51,femme,158.2519090889629,Non,2_moyennement,3_beaucoup,3_beaucoup,1_un peu,1_un peu,Non renseigné,1_un peu,4_énormément,NA
419,45,homme,166.3229102532972,Non,4_énormément,1_un peu,3_beaucoup,2_moyennement,2_moyennement,2_moyennement,Non renseigné,2_moyennement,NA
420,38,femme,167.62799342386938,Non,3_beaucoup,Non renseigné,1_un peu,4_énormément,4_énormément,0_pas_du_tout,0_pas_du_tout,Non renseigné,NA
421,14,NA,150.40199808929196,Non,3_beaucoup,1_un peu,0_pas_du_tout,3_beaucoup,0_pas_du_tout,Non renseigné,2_moyennement,Non renseigné,NA
422,58,femme,157.11644233317452,Non,0_pas_du_tout,4_énormément,3_beaucoup,2_moyennement,3_beaucoup,1_un peu,4_énormément,Non renseigné,NA
423,66,homme,161.0604937243433,Oui,Non renseigné,3_beaucoup,4_énormément,1_un peu,Non renseigné,1_un peu,2_moyennement,Non renseigné,NA
424,37,femme,154.27172328379118,Non,0_pas_du_tout,1_un peu,1_un peu,Non renseigné,Non renseigné,0_pas_du_tout,1_un peu,Non renseigné,NA
425,59,femme,163.70449091622672,Oui,0_pas_du_tout,Non renseigné,1_un peu,0_pas_du_tout,Non renseigné,1_un peu,Non renseigné,0_pas_du_tout,NA
426,37,homme,165.9452844435167,Oui,0_pas_du_tout,0_pas_du_tout,4_énormément,0_pas_du_tout,Non renseigné,Non renseigné,0_pas_du_tout,Non renseigné,NA
427,64,femme,NA,Non renseigné,1_un peu,4_énormément,1_un peu,0_pas_du_tout,0_pas_du_tout,0_pas_du_tout,0_pas_du_tout,Non renseigné,NA
428,NA,femme,144.61125783505486,Non,0_pas_du_tout,0_pas_du_tout,2_moyennement,Non renseigné,1_un peu,2_moyennement,3_beaucoup,Non renseigné,NA
429,29,homme,166.12027385931214,Non,3_beaucoup,2_moyennement,4_énormément,1_un peu,4_énormément,1_un peu,Non renseigné,Non renseigné,NA
430,18,femme,170.07809253575823,Oui,1_un peu,0_pas_du_tout,Non renseigné,0_pas_du_tout,Non renseigné,1_un peu,4_énormément,4_énormément,NA
431,65,femme,NA,Non renseigné,2_moyennement,0_pas_du_tout,Non renseigné,Non renseigné,1_un peu,4_énormément,4_énormément,Non renseigné,NA
432,75,homme,166.75590042320536,Oui,2_moyennement,Non renseigné,0_pas_du_tout,Non renseigné,1_un peu,1_un peu,3_beaucoup,0_pas_du_tout,NA
433,35,NA,158.08395026644578,Non,2_moyennement,Non renseigné,Non renseigné,3_beaucoup,Non renseigné,Non renseigné,2_moyennement,Non renseigné,NA
434,35,homme,169.80625075189135,Oui,3_beaucoup,3_beaucoup,2_moyennement,3_beaucoup,4_énormément,Non renseigné,0_pas_du_tout,3_beaucoup,NA
435,73,homme,163.62569476601075,Non,0_pas_du_tout,3_beaucoup,Non renseigné,2_moyennement,1_un peu,Non renseigné,1_un peu,0_pas_du_tout,NA
436,19,homme,174.4901439830764,Oui,3_beaucoup,3_beaucoup,1_un peu,3_beaucoup,2_moyennement,2_moyennement,3_beaucoup,Non renseigné,NA
437,55,NA,164.53204288617474,Non,0_pas_du_tout,3_beaucoup,3_beaucoup,4_énormément,1_un peu,Non renseigné,3_beaucoup,Non renseigné,NA
438,17,non binaire,164.1799980158233,Non renseigné,3_beaucoup,2_moyennement,1_un peu,1_un peu,1_un peu,Non renseigné,Non renseigné,Non renseigné,NA
439,43,NA,169.7244245299777,Non,0_pas_du_tout,1_un peu,4_énormément,0_pas_du_tout,4_énormément,1_un peu,0_pas_du_tout,Non renseigné,NA
440,71,femme,160.20378978671724,Non renseigné,2_moyennement,0_pas_du_tout,3_beaucoup,1_un peu,Non renseigné,Non renseigné,1_un peu,Non renseigné,NA
441,55,femme,164.2283469375352,Non,3_beaucoup,2_moyennement,1_un peu,0_pas_du_tout,4_énormément,1_un peu,4_énormément,Non renseigné,NA
442,33,homme,174.6942197439078,Non renseigné,Non renseigné,3_beaucoup,2_moyennement,2_moyennement,1_un peu,Non renseigné,2_moyennement,Non renseigné,NA
443,37,homme,170.1221632686973,Non,4_énormément,2_moyennement,4_énormément,3_beaucoup,4_énormément,4_énormément,Non renseigné,Non renseigné,NA
444,9,femme,123.98470359411577,Non,3_beaucoup,1_un peu,3_beaucoup,2_moyennement,1_un peu,4_énormément,1_un peu,4_énormément,NA
445,8,femme,120.01679772032197,Non renseigné,3_beaucoup,3_beaucoup,Non renseigné,4_énormément,4_énormément,3_beaucoup,1_un peu,Non renseigné,NA
446,26,femme,163.73670503292442,Non,2_moyennement,1_un peu,3_beaucoup,0_pas_du_tout,2_moyennement,4_énormément,1_un peu,4_énormément,NA
447,10,non binaire,131.5508780301243,Non renseigné,1_un peu,0_pas_du_tout,0_pas_du_tout,3_beaucoup,3_beaucoup,0_pas_du_tout,2_moyennement,2_moyennement,NA
448,16,femme,159.99752697525392,Non renseigné,2_moyennement,2_moyennement,0_pas_du_tout,4_énormément,Non renseigné,0_pas_du_tout,4_énormément,Non renseigné,NA
449,30,homme,173.78184808810516,Non renseigné,2_moyennement,1_un peu,4_énormément,0_pas_du_tout,3_beaucoup,0_pas_du_tout,Non renseigné,Non renseigné,NA
450,57,NA,164.8782471284125,Non renseigné,4_énormément,0_pas_du_tout,4_énormément,1_un peu,4_énormément,1_un peu,1_un peu,0_pas_du_tout,NA
451,24,non binaire,NA,Oui,1_un peu,1_un peu,4_énormément,1_un peu,4_énormément,1_un peu,Non renseigné,Non renseigné,NA
452,77,femme,NA,Non,2_moyennement,2_moyennement,0_pas_du_tout,0_pas_du_tout,3_beaucoup,1_un peu,4_énormément,Non renseigné,NA
453,11,NA,136.0929618460149,Non renseigné,0_pas_du_tout,0_pas_du_tout,2_moyennement,2_moyennement,3_beaucoup,0_pas_du_tout,2_moyennement,Non renseigné,NA
454,43,NA,163.6882305167171,Oui,Non renseigné,4_énormément,2_moyennement,0_pas_du_tout,1_un peu,3_beaucoup,2_moyennement,4_énormément,NA
455,77,NA,NA,Non renseigné,0_pas_du_tout,4_énormément,Non renseigné,1_un peu,1_un peu,2_moyennement,3_beaucoup,4_énormément,NA
456,14,homme,149.57114153249276,Oui,2_moyennement,1_un peu,0_pas_du_tout,0_pas_du_tout,3_beaucoup,4_énormément,2_moyennement,0_pas_du_tout,NA
457,22,NA,NA,Oui,1_un peu,3_beaucoup,4_énormément,0_pas_du_tout,3_beaucoup,3_beaucoup,Non renseigné,Non renseigné,NA
458,65,femme,159.86650167189867,Oui,Non renseigné,4_énormément,1_un peu,4_énormément,0_pas_du_tout,2_moyennement,Non renseigné,2_moyennement,NA
459,9,homme,124.27065412658258,Oui,2_moyennement,3_beaucoup,0_pas_du_tout,0_pas_du_tout,4_énormément,0_pas_du_tout,0_pas_du_tout,2_moyennement,NA
460,66,homme,178.1762973235659,Non,2_moyennement,1_un peu,3_beaucoup,0_pas_du_tout,Non renseigné,2_moyennement,1_un peu,Non renseigné,NA
461,66,homme,176.45692706358918,Non,3_beaucoup,4_énormément,4_énormément,0_pas_du_tout,2_moyennement,Non renseigné,Non renseigné,Non renseigné,NA
462,18,femme,168.4868723250068,Non,3_beaucoup,3_beaucoup,Non renseigné,0_pas_du_tout,3_beaucoup,1_un peu,1_un peu,Non renseigné,NA
463,4,femme,100.58261569462132,Non,3_beaucoup,1_un peu,1_un peu,1_un peu,Non renseigné,Non renseigné,1_un peu,Non renseigné,NA
464,51,homme,NA,Non,2_moyennement,3_beaucoup,0_pas_du_tout,4_énormément,Non renseigné,1_un peu,3_beaucoup,Non renseigné,NA
465,54,homme,169.5887515338456,Oui,2_moyennement,2_moyennement,4_énormément,1_un peu,1_un peu,Non renseigné,Non renseigné,1_un peu,NA
466,69,femme,163.73923021759694,Non,3_beaucoup,3_beaucoup,1_un peu,2_moyennement,Non renseigné,2_moyennement,1_un peu,Non renseigné,NA
467,67,homme,160.65173905016042,Oui,2_moyennement,3_beaucoup,1_un peu,0_pas_du_tout,1_un peu,2_moyennement,Non renseigné,Non renseigné,NA
468,53,homme,169.7983309742232,Oui,1_un peu,1_un peu,4_énormément,0_pas_du_tout,Non renseigné,3_beaucoup,0_pas_du_tout,2_moyennement,NA
469,60,homme,171.061549588759,Non,2_moyennement,0_pas_du_tout,0_pas_du_tout,0_pas_du_tout,4_énormément,3_beaucoup,4_énormément,3_beaucoup,NA
470,70,femme,171.85821566811828,Non,3_beaucoup,2_moyennement,1_un peu,0_pas_du_tout,4_énormément,3_beaucoup,4_énormément,Non renseigné,NA
471,79,homme,166.74278116301383,Oui,1_un peu,0_pas_du_tout,0_pas_du_tout,Non renseigné,4_énormément,1_un peu,4_énormément,Non renseigné,NA
472,28,femme,NA,Oui,1_un peu,3_beaucoup,3_beaucoup,3_beaucoup,2_moyennement,3_beaucoup,4_énormément,Non renseigné,NA
473,13,non binaire,143.55966832643352,Oui,3_beaucoup,4_énormément,1_un peu,0_pas_du_tout,Non renseigné,2_moyennement,Non renseigné,Non renseigné,NA
474,4,non binaire,99.22547137162553,Non,2_moyennement,4_énormément,Non renseigné,3_beaucoup,Non renseigné,4_énormément,Non renseigné,1_un peu,NA
475,15,femme,155.57768277914576,Non,Non renseigné,0_pas_du_tout,1_un peu,0_pas_du_tout,2_moyennement,4_énormément,0_pas_du_tout,Non renseigné,NA
476,21,non binaire,NA,Non,2_moyennement,2_moyennement,4_énormément,Non renseigné,3_beaucoup,0_pas_du_tout,Non renseigné,4_énormément,NA
477,71,homme,173.95906936036536,Oui,0_pas_du_tout,3_beaucoup,3_beaucoup,1_un peu,4_énormément,4_énormément,4_énormément,0_pas_du_tout,NA
478,54,femme,151.3180103090385,Non renseigné,1_un peu,3_beaucoup,2_moyennement,1_un peu,3_beaucoup,4_énormément,Non renseigné,Non renseigné,NA
479,43,femme,157.56618533399106,Non renseigné,4_énormément,4_énormément,0_pas_du_tout,3_beaucoup,4_énormément,3_beaucoup,Non renseigné,4_énormément,NA
480,47,homme,167.53901194470433,Oui,2_moyennement,0_pas_du_tout,Non renseigné,Non renseigné,0_pas_du_tout,4_énormément,2_moyennement,4_énormément,NA
481,43,femme,160.66281877002976,Non renseigné,Non renseigné,3_beaucoup,4_énormément,0_pas_du_tout,0_pas_du_tout,0_pas_du_tout,1_un peu,Non renseigné,NA
